subject,vertebra,file_dir,bad_poi_list
verse050,8,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/8,[]
verse050,9,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/9,[]
verse050,10,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/10,[]
verse050,11,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/11,[]
verse050,12,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/12,[]
verse050,13,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/13,[]
verse050,14,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/14,[]
verse050,15,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/15,[]
verse050,16,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/16,[]
verse050,17,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/17,[]
verse050,18,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/18,[]
verse050,19,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/19,[]
verse050,20,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/20,[]
verse050,21,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/21,[]
verse050,22,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/22,[]
verse050,23,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/23,[]
verse050,24,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse050/24,[]
verse051,17,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse051/17,[]
verse051,18,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse051/18,[]
verse051,19,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse051/19,[]
verse051,20,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse051/20,[]
verse051,21,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse051/21,[]
verse051,22,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse051/22,[]
verse051,23,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse051/23,[]
verse051,24,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse051/24,[]
verse207,1,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse207/1,[]
verse207,2,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse207/2,[]
verse207,3,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse207/3,[]
verse207,4,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse207/4,[]
verse207,5,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse207/5,[]
verse207,6,dataset/data_preprocessing/cutout-folder/cutouts-verse19/verse207/6,[]
