subject,vertebra,file_dir,bad_poi_list
verse512,7,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/7,[]
verse512,8,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/8,[]
verse512,9,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/9,[]
verse512,10,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/10,[]
verse512,11,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/11,[]
verse512,12,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/12,[]
verse512,13,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/13,[]
verse512,14,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/14,[]
verse512,15,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/15,[]
verse512,16,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/16,[]
verse512,17,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/17,[]
verse512,18,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/18,[]
verse512,19,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/19,[]
verse512,20,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/20,[]
verse512,21,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/21,[]
verse512,22,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/22,[]
verse512,23,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/23,[]
verse512,24,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/24,[]
verse512,25,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse512/25,[]
verse760,17,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse760/17,[]
verse760,18,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse760/18,[]
verse760,19,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse760/19,[]
verse760,20,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse760/20,[]
verse760,21,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse760/21,[]
verse760,22,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse760/22,[]
verse760,23,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse760/23,[]
verse760,24,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse760/24,[]
verse551,9,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/9,[]
verse551,10,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/10,[]
verse551,11,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/11,[]
verse551,12,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/12,[]
verse551,13,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/13,[]
verse551,14,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/14,[]
verse551,15,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/15,[]
verse551,16,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/16,[]
verse551,17,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/17,[]
verse551,18,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/18,[]
verse551,19,dataset/data_preprocessing/cutout-folder/cutouts-verse20-copy/verse551/19,[]
